lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year
37,-6.875,13.42,14.67,14.63,15.75,20.26,22.36,25.73,24.33,22.06,21.32,17.86,16.48,19.07
37,-7.5,13.98,14.89,14.7,15.89,19.83,21.74,25.21,23.47,21.64,21.1,18.06,17,18.96
37,-8.125,13.61,14.55,14.32,15.44,19.46,21.29,24.83,22.81,21.25,20.82,17.65,16.58,18.55
37,-8.75,14.52,14.95,14.65,15.28,18.47,19.82,22.1,20.64,20.48,20.11,17.98,17.24,18.02
37.5,-6.875,10.2,12.75,12.99,15.03,21.82,25.26,30.39,27.77,23.9,21.48,15.37,13.37,19.19
37.5,-7.5,10.1,12.6,12.97,14.87,21.6,24.62,29.97,27.28,23.45,21.49,15.4,13.59,18.99
37.5,-8.125,9.59,11.87,12.2,13.81,20.26,22.76,27.95,25.29,21.93,20.45,14.87,13.47,17.87
37.5,-8.75,11.78,13.26,13.47,14.51,19.44,21.01,24.42,22.16,21.28,19.95,16.24,15.29,17.73
38,-6.875,8.85,11.32,11.62,13.56,21.01,24.05,30.24,27.41,22.49,20.47,13.97,12.12,18.09
38,-7.5,9.68,12.05,12.61,14.38,21.77,24.31,30.04,27.4,22.97,21.1,14.88,13.18,18.7
38,-8.125,9.69,11.92,12.57,14.21,21.1,23.13,28.2,25.45,22.17,20.62,14.98,13.63,18.14
38,-8.75,11.65,13.08,13.6,14.79,19.84,21.07,24.39,22.33,21.45,19.96,16.09,15.24,17.79
38.5,-6.875,7.91,10.55,11.45,13.29,21.2,24.1,30.45,27.76,22.35,20.47,13.54,11.97,17.92
38.5,-7.5,8.62,11.04,11.94,13.84,21.26,23.36,29.37,26.89,22.35,20.41,14.02,12.73,17.99
38.5,-8.125,9.08,11.38,12.3,14.02,20.94,22.63,28.04,25.46,21.97,20.11,14.36,13.24,17.79
38.5,-8.75,10.66,12.42,13.42,14.82,20.39,21.54,25.43,23.36,21.78,19.9,15.49,14.69,17.82
39,-6.875,6.96,9.99,11.36,13.21,21.24,24.41,30.75,28.1,22.31,19.96,12.96,11.61,17.74
39,-7.5,7.16,9.82,11.07,12.91,20.31,22.64,29.09,26.59,21.62,19.25,12.86,11.9,17.1
39,-8.125,8.61,11.04,12.19,13.94,20.66,22.25,27.67,25.45,21.91,19.75,13.89,12.89,17.52
39,-8.75,9.4,11.54,12.88,14.42,20.24,21.34,25.56,23.57,21.68,19.42,14.6,13.8,17.37
39.5,-6.875,6.33,9.61,10.89,12.78,20.79,24.25,30.79,28.26,21.9,19.03,12.29,10.94,17.32
39.5,-7.5,6.56,9.71,10.9,12.82,20.31,22.97,29.74,27.34,21.52,18.76,12.3,11.35,17.02
39.5,-8.125,7.8,10.58,11.72,13.59,19.98,21.33,27,25.34,21.36,18.99,13.04,12.13,16.9
39.5,-8.75,9,11.24,12.36,13.68,19.11,20.09,23.95,22.35,20.71,18.53,14.07,13.22,16.53
40,-6.875,6.13,9.48,10.15,12.16,20.02,23.49,30.4,28.26,21.06,18.05,11.35,10.06,16.72
40,-7.5,5.98,9.16,9.89,12.01,19.33,21.73,28.78,26.91,20.23,17.62,11.09,10.1,16.07
40,-8.125,6.98,9.52,10.14,11.83,18.44,19.97,25.82,24.16,19.49,17.47,11.5,10.85,15.51
40,-8.75,9.86,11.61,12.42,13.39,18.62,19.6,23.3,21.95,20.4,18.4,14.2,13.42,16.43
40.5,-6.875,4.27,7.17,7.57,9.52,16.97,19.96,26.81,25.47,18.09,15.75,9.08,8.02,14.06
40.5,-7.5,4.87,7.83,8.26,10.45,17.37,19.17,25.65,24.74,18.46,16.33,9.7,8.72,14.3
40.5,-8.125,7.38,10.09,10.55,12.12,19.57,20.5,26.34,24.82,19.7,17.86,11.6,10.98,15.96
40.5,-8.75,10.52,12.04,12.82,13.59,18.73,19.43,22.93,21.39,20.32,18.42,14.62,13.72,16.54
41,-6.875,4.79,7.67,8.76,10.74,18.85,21.49,27.59,26.71,19.33,16.97,9.78,8.69,15.11
41,-7.5,4.12,6.96,8.12,9.96,17.39,19.71,25.75,24.94,18.32,16.03,9.36,8.38,14.09
41,-8.125,6.05,8.6,9.34,11.04,18.06,19.15,24.49,23.35,18.43,16.55,10.62,9.91,14.63
41,-8.75,10.57,11.96,12.68,13.32,18,18.54,21.9,20.59,19.78,17.94,14.77,13.73,16.15
41.5,-6.875,4.48,7.36,8.49,10.5,18.65,21.12,26.97,26.19,19.01,16.17,9.27,7.92,14.68
41.5,-7.5,4.15,6.97,8.14,10,17.45,19.74,25.77,25.24,18.45,15.67,9.22,7.98,14.06
41.5,-8.125,5.72,8.31,9.11,10.94,18.05,19.12,24.84,23.79,18.5,16.3,10.3,9.33,14.53
41.5,-8.75,9.8,11.2,12.12,12.93,18.1,18.64,22.91,21.48,19.71,17.71,14.1,12.95,15.97
42,-6.875,3.14,5.57,6.22,8.31,16.23,18.24,24.2,23.29,16.63,13.92,7.36,6.04,12.43
42,-7.5,4.08,6.38,7.23,9.05,16.43,18.26,24.57,24,17.4,14.74,8.45,7.27,13.16
42,-8.125,5.56,7.48,8.22,9.88,16.86,17.91,24.08,23.21,17.65,15.34,9.69,8.61,13.71
42,-8.75,9.23,10.42,11.39,12.18,17.46,18.18,23.29,22.07,19.3,17.24,13.39,12.19,15.53
